"Gene.stable.ID"	"Gene.name"	"ZFIN.ID"	"Gene.name.uniq"	"Gene.description"	"Source.of.gene.name"
"18175"	"ENSDARG00000117578"	"CT025909.2"	"=HYPERLINK(\"https://zfin.org/\")"	"CT025909.2"	""	"Clone-based (Ensembl) gene"
"18177"	"ENSDARG00000028148"	"pax2a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-990415-8\")"	"pax2a"	"paired box 2a [Source:ZFIN;Acc:ZDB-GENE-990415-8]"	"ZFIN"
"18178"	"ENSDARG00000039365"	"cuedc2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-6283\")"	"cuedc2"	"CUE domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-030131-6283]"	"ZFIN"
"18179"	"ENSDARG00000031915"	"hif1an"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030826-19\")"	"hif1an"	"hypoxia inducible factor 1 subunit alpha inhibitor [Source:ZFIN;Acc:ZDB-GENE-030826-19]"	"ZFIN"
"18180"	"ENSDARG00000006911"	"wnt8b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-990415-279\")"	"wnt8b"	"wingless-type MMTV integration site family, member 8b [Source:ZFIN;Acc:ZDB-GENE-990415-279]"	"ZFIN"
"18181"	"ENSDARG00000030265"	"scdb"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050522-12\")"	"scdb"	"stearoyl-CoA desaturase b [Source:ZFIN;Acc:ZDB-GENE-050522-12]"	"ZFIN"
"18182"	"ENSDARG00000033967"	"trmt2b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050809-101\")"	"trmt2b"	"tRNA methyltransferase 2 homolog B [Source:ZFIN;Acc:ZDB-GENE-050809-101]"	"ZFIN"
"18183"	"ENSDARG00000039363"	"dnajb12a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-2725\")"	"dnajb12a"	"DnaJ heat shock protein family (Hsp40) member B12a [Source:ZFIN;Acc:ZDB-GENE-030131-2725]"	"ZFIN"
"18184"	"ENSDARG00000075393"	"spock2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090312-170\")"	"spock2"	"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2 [Source:ZFIN;Acc:ZDB-GENE-090312-170]"	"ZFIN"
"18185"	"ENSDARG00000074895"	"tysnd1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-8525\")"	"tysnd1"	"trypsin domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-030131-8525]"	"ZFIN"
"18186"	"ENSDARG00000033320"	"sar1ab"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050417-437\")"	"sar1ab"	"secretion associated, Ras related GTPase 1Ab [Source:ZFIN;Acc:ZDB-GENE-050417-437]"	"ZFIN"
"18187"	"ENSDARG00000030441"	"ppa1b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050417-375\")"	"ppa1b"	"pyrophosphatase (inorganic) 1b [Source:ZFIN;Acc:ZDB-GENE-050417-375]"	"ZFIN"
"18188"	"ENSDARG00000031819"	"eif4ebp2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-031118-83\")"	"eif4ebp2"	"eukaryotic translation initiation factor 4E binding protein 2 [Source:ZFIN;Acc:ZDB-GENE-031118-83]"	"ZFIN"
"18189"	"ENSDARG00000039352"	"pald1b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070424-88\")"	"pald1b"	"phosphatase domain containing paladin 1b [Source:ZFIN;Acc:ZDB-GENE-070424-88]"	"ZFIN"
"18190"	"ENSDARG00000039349"	"qrfpra"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-105\")"	"qrfpra"	"pyroglutamylated RFamide peptide receptor a [Source:ZFIN;Acc:ZDB-GENE-090313-105]"	"ZFIN"
"18191"	"ENSDARG00000039347"	"rps24"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040109-5\")"	"rps24"	"ribosomal protein S24 [Source:ZFIN;Acc:ZDB-GENE-040109-5]"	"ZFIN"
"18193"	"ENSDARG00000074502"	"zmiz1a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-080220-27\")"	"zmiz1a"	"zinc finger, MIZ-type containing 1a [Source:ZFIN;Acc:ZDB-GENE-080220-27]"	"ZFIN"
"18195"	"ENSDARG00000007409"	"ppifa"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040912-52\")"	"ppifa"	"peptidylprolyl isomerase Fa [Source:ZFIN;Acc:ZDB-GENE-040912-52]"	"ZFIN"
"18196"	"ENSDARG00000078026"	"zcchc24"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-3573\")"	"zcchc24"	"zinc finger, CCHC domain containing 24 [Source:ZFIN;Acc:ZDB-GENE-030131-3573]"	"ZFIN"
"18199"	"ENSDARG00000012460"	"rassf4a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050102-3\")"	"rassf4a"	"Ras association domain family member 4a [Source:ZFIN;Acc:ZDB-GENE-050102-3]"	"ZFIN"
"18201"	"ENSDARG00000114454"	"CR762483.1"	"=HYPERLINK(\"https://zfin.org/\")"	"CR762483.1"	"growth-regulated alpha protein-like [Source:NCBI gene;Acc:101883994]"	"Clone-based (Ensembl) gene"
"18202"	"ENSDARG00000111840"	"cxcl18a.1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090303-1\")"	"cxcl18a.1"	"chemokine (C-X-C motif) ligand 18a, duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-090303-1]"	"ZFIN"
"18203"	"ENSDARG00000069332"	"tmem72"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-175\")"	"tmem72"	"transmembrane protein 72 [Source:ZFIN;Acc:ZDB-GENE-090313-175]"	"ZFIN"
"18204"	"ENSDARG00000037116"	"cxcl12a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030318-1\")"	"cxcl12a"	"chemokine (C-X-C motif) ligand 12a (stromal cell-derived factor 1) [Source:ZFIN;Acc:ZDB-GENE-030318-1]"	"ZFIN"
"18207"	"ENSDARG00000075612"	"ercc6"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070228-1\")"	"ercc6"	"excision repair cross-complementation group 6 [Source:ZFIN;Acc:ZDB-GENE-070228-1]"	"ZFIN"
"18208"	"ENSDARG00000069329"	"drgx"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070330-1\")"	"drgx"	"dorsal root ganglia homeobox [Source:ZFIN;Acc:ZDB-GENE-070330-1]"	"ZFIN"
"18209"	"ENSDARG00000010154"	"vstm4a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060810-69\")"	"vstm4a"	"V-set and transmembrane domain containing 4a [Source:ZFIN;Acc:ZDB-GENE-060810-69]"	"ZFIN"
"18210"	"ENSDARG00000077009"	"wdfy4"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-322\")"	"wdfy4"	"WDFY family member 4 [Source:ZFIN;Acc:ZDB-GENE-090313-322]"	"ZFIN"
"18211"	"ENSDARG00000078790"	"lrrc18a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-323\")"	"lrrc18a"	"leucine rich repeat containing 18a [Source:ZFIN;Acc:ZDB-GENE-090313-323]"	"ZFIN"
"18212"	"ENSDARG00000117566"	"BX005005.2"	"=HYPERLINK(\"https://zfin.org/\")"	"BX005005.2"	""	"Clone-based (Ensembl) gene"
"18213"	"ENSDARG00000117551"	"BX005005.1"	"=HYPERLINK(\"https://zfin.org/\")"	"BX005005.1"	""	"Clone-based (Ensembl) gene"
"18214"	"ENSDARG00000075225"	"si:ch211-223a10.1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-86\")"	"si:ch211-223a10.1"	"si:ch211-223a10.1 [Source:ZFIN;Acc:ZDB-GENE-090313-86]"	"ZFIN"
"18216"	"ENSDARG00000021255"	"arhgap22"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-87\")"	"arhgap22"	"Rho GTPase activating protein 22 [Source:ZFIN;Acc:ZDB-GENE-090313-87]"	"ZFIN"
"18217"	"ENSDARG00000095547"	"CR931802.2"	"=HYPERLINK(\"https://zfin.org/\")"	"CR931802.2"	""	"Clone-based (Ensembl) gene"
"18218"	"ENSDARG00000112690"	"CR931802.4"	"=HYPERLINK(\"https://zfin.org/\")"	"CR931802.4"	""	"Clone-based (Ensembl) gene"
"18219"	"ENSDARG00000031888"	"mapk8a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-080218-17\")"	"mapk8a"	"mitogen-activated protein kinase 8a [Source:ZFIN;Acc:ZDB-GENE-080218-17]"	"ZFIN"
"18221"	"ENSDARG00000075459"	"ptpn20"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-90\")"	"ptpn20"	"protein tyrosine phosphatase non-receptor type 20 [Source:ZFIN;Acc:ZDB-GENE-090313-90]"	"ZFIN"
"18223"	"ENSDARG00000095378"	"gdf10a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090312-17\")"	"gdf10a"	"growth differentiation factor 10a [Source:ZFIN;Acc:ZDB-GENE-090312-17]"	"ZFIN"
"18224"	"ENSDARG00000025017"	"prdm8"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2747\")"	"prdm8"	"PR domain containing 8 [Source:ZFIN;Acc:ZDB-GENE-040426-2747]"	"ZFIN"
"18225"	"ENSDARG00000060845"	"antxr1d"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-28\")"	"antxr1d"	"ANTXR cell adhesion molecule 1d [Source:ZFIN;Acc:ZDB-GENE-090313-28]"	"ZFIN"
"18226"	"ENSDARG00000022410"	"rrp12"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050706-182\")"	"rrp12"	"ribosomal RNA processing 12 homolog [Source:ZFIN;Acc:ZDB-GENE-050706-182]"	"ZFIN"
"18228"	"ENSDARG00000007808"	"zdhhc16a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1621\")"	"zdhhc16a"	"zinc finger, DHHC-type containing 16a [Source:ZFIN;Acc:ZDB-GENE-040426-1621]"	"ZFIN"
"18229"	"ENSDARG00000074588"	"METTL18"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-192\")"	"METTL18"	"methyltransferase like 18 [Source:HGNC Symbol;Acc:HGNC:28793]"	"HGNC Symbol"
"18230"	"ENSDARG00000005423"	"pgam1a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-1827\")"	"pgam1a"	"phosphoglycerate mutase 1a [Source:ZFIN;Acc:ZDB-GENE-030131-1827]"	"ZFIN"
"18231"	"ENSDARG00000013453"	"tdrd9"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-193\")"	"tdrd9"	"tudor domain containing 9 [Source:ZFIN;Acc:ZDB-GENE-090313-193]"	"ZFIN"
"18232"	"ENSDARG00000006497"	"rtn1a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-2426\")"	"rtn1a"	"reticulon 1a [Source:ZFIN;Acc:ZDB-GENE-030131-2426]"	"ZFIN"
"18233"	"ENSDARG00000054352"	"lrrc9"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-080917-56\")"	"lrrc9"	"leucine rich repeat containing 9 [Source:ZFIN;Acc:ZDB-GENE-080917-56]"	"ZFIN"
"18234"	"ENSDARG00000060785"	"pcnx4"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070209-185\")"	"pcnx4"	"pecanex 4 [Source:ZFIN;Acc:ZDB-GENE-070209-185]"	"ZFIN"
"18235"	"ENSDARG00000003444"	"dhrs7"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060825-21\")"	"dhrs7"	"dehydrogenase/reductase (SDR family) member 7 [Source:ZFIN;Acc:ZDB-GENE-060825-21]"	"ZFIN"
"18236"	"ENSDARG00000032155"	"ppm1aa"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-991102-15\")"	"ppm1aa"	"protein phosphatase, Mg2+/Mn2+ dependent, 1Aa [Source:ZFIN;Acc:ZDB-GENE-991102-15]"	"ZFIN"
"18238"	"ENSDARG00000025187"	"six6a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1282\")"	"six6a"	"SIX homeobox 6a [Source:ZFIN;Acc:ZDB-GENE-040426-1282]"	"ZFIN"
"18239"	"ENSDARG00000039304"	"six1a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040718-155\")"	"six1a"	"SIX homeobox 1a [Source:ZFIN;Acc:ZDB-GENE-040718-155]"	"ZFIN"
"18240"	"ENSDARG00000004695"	"six4a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-010201-2\")"	"six4a"	"SIX homeobox 4a [Source:ZFIN;Acc:ZDB-GENE-010201-2]"	"ZFIN"
"18241"	"ENSDARG00000002077"	"mnat1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041010-203\")"	"mnat1"	"MNAT1 component of CDK activating kinase [Source:ZFIN;Acc:ZDB-GENE-041010-203]"	"ZFIN"
"18242"	"ENSDARG00000069278"	"trmt5"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-5978\")"	"trmt5"	"tRNA methyltransferase 5 [Source:ZFIN;Acc:ZDB-GENE-030131-5978]"	"ZFIN"
"18243"	"ENSDARG00000054312"	"slc38a6"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050522-51\")"	"slc38a6"	"solute carrier family 38 member 6 [Source:ZFIN;Acc:ZDB-GENE-050522-51]"	"ZFIN"
"18245"	"ENSDARG00000018382"	"prkcha"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-080402-5\")"	"prkcha"	"protein kinase C, eta, a [Source:ZFIN;Acc:ZDB-GENE-080402-5]"	"ZFIN"
"18246"	"ENSDARG00000006181"	"hif1aa"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-080917-55\")"	"hif1aa"	"hypoxia inducible factor 1 subunit alpha a [Source:ZFIN;Acc:ZDB-GENE-080917-55]"	"ZFIN"
"18247"	"ENSDARG00000089795"	"sertad4"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-199\")"	"sertad4"	"SERTA domain containing 4 [Source:ZFIN;Acc:ZDB-GENE-090313-199]"	"ZFIN"
"18248"	"ENSDARG00000010934"	"syt14a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-200\")"	"syt14a"	"synaptotagmin XIVa [Source:ZFIN;Acc:ZDB-GENE-090313-200]"	"ZFIN"
"18249"	"ENSDARG00000017696"	"utp25"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-021217-2\")"	"utp25"	"UTP25 small subunit processor component [Source:ZFIN;Acc:ZDB-GENE-021217-2]"	"ZFIN"
"18250"	"ENSDARG00000117720"	"CR559941.1"	"=HYPERLINK(\"https://zfin.org/\")"	"CR559941.1"	""	"Clone-based (Ensembl) gene"
"18252"	"ENSDARG00000014091"	"osr1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070321-1\")"	"osr1"	"odd-skipped related transcription factor 1 [Source:ZFIN;Acc:ZDB-GENE-070321-1]"	"ZFIN"
"18254"	"ENSDARG00000018153"	"nt5c1ba"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070424-103\")"	"nt5c1ba"	"5'-nucleotidase, cytosolic IB a [Source:ZFIN;Acc:ZDB-GENE-070424-103]"	"ZFIN"
"18255"	"ENSDARG00000039299"	"rdh14a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041010-124\")"	"rdh14a"	"retinol dehydrogenase 14a [Source:ZFIN;Acc:ZDB-GENE-041010-124]"	"ZFIN"
"18257"	"ENSDARG00000069269"	"wdr35"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060810-148\")"	"wdr35"	"WD repeat domain 35 [Source:ZFIN;Acc:ZDB-GENE-060810-148]"	"ZFIN"
"18258"	"ENSDARG00000069265"	"matn3b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050221-9\")"	"matn3b"	"matrilin 3b [Source:ZFIN;Acc:ZDB-GENE-050221-9]"	"ZFIN"
"18259"	"ENSDARG00000077614"	"mtres1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-2912\")"	"mtres1"	"si:ch211-206k20.5 [Source:ZFIN;Acc:ZDB-GENE-030131-2912]"	"ZFIN"
"18260"	"ENSDARG00000076903"	"bend3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090312-181\")"	"bend3"	"BEN domain containing 3 [Source:ZFIN;Acc:ZDB-GENE-090312-181]"	"ZFIN"
"18261"	"ENSDARG00000012563"	"pdss2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040718-43\")"	"pdss2"	"prenyl (decaprenyl) diphosphate synthase, subunit 2 [Source:ZFIN;Acc:ZDB-GENE-040718-43]"	"ZFIN"
"18262"	"ENSDARG00000054253"	"sobpa"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-313\")"	"sobpa"	"sine oculis binding protein homolog (Drosophila) a [Source:ZFIN;Acc:ZDB-GENE-090313-313]"	"ZFIN"
"18263"	"ENSDARG00000100616"	"CU019663.1"	"=HYPERLINK(\"https://zfin.org/\")"	"CU019663.1"	""	"Clone-based (Ensembl) gene"
"18264"	"ENSDARG00000054251"	"slc66a3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040912-40\")"	"slc66a3"	"solute carrier family 66 member 3 [Source:ZFIN;Acc:ZDB-GENE-040912-40]"	"ZFIN"
"18265"	"ENSDARG00000017500"	"rock2a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030115-3\")"	"rock2a"	"rho-associated, coiled-coil containing protein kinase 2a [Source:ZFIN;Acc:ZDB-GENE-030115-3]"	"ZFIN"
"18267"	"ENSDARG00000078140"	"si:dkey-18j18.3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-214\")"	"si:dkey-18j18.3"	"si:dkey-18j18.3 [Source:ZFIN;Acc:ZDB-GENE-090313-214]"	"ZFIN"
"18269"	"ENSDARG00000027285"	"kcnf1b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090312-39\")"	"kcnf1b"	"potassium voltage-gated channel, subfamily F, member 1b [Source:ZFIN;Acc:ZDB-GENE-090312-39]"	"ZFIN"
"18270"	"ENSDARG00000039266"	"rbm25a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090312-142\")"	"rbm25a"	"RNA binding motif protein 25a [Source:ZFIN;Acc:ZDB-GENE-090312-142]"	"ZFIN"
"18271"	"ENSDARG00000039269"	"arg2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-1334\")"	"arg2"	"arginase 2 [Source:ZFIN;Acc:ZDB-GENE-030131-1334]"	"ZFIN"
"18272"	"ENSDARG00000039270"	"vti1b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1148\")"	"vti1b"	"vesicle transport through interaction with t-SNAREs 1B [Source:ZFIN;Acc:ZDB-GENE-040426-1148]"	"ZFIN"
"18273"	"ENSDARG00000018069"	"rdh12"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040718-9\")"	"rdh12"	"retinol dehydrogenase 12 [Source:ZFIN;Acc:ZDB-GENE-040718-9]"	"ZFIN"
"18274"	"ENSDARG00000040131"	"zfyve26"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-3286\")"	"zfyve26"	"zinc finger, FYVE domain containing 26 [Source:ZFIN;Acc:ZDB-GENE-030131-3286]"	"ZFIN"
"18275"	"ENSDARG00000060656"	"si:ch211-10a23.2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-9\")"	"si:ch211-10a23.2"	"si:ch211-10a23.2 [Source:ZFIN;Acc:ZDB-GENE-090313-9]"	"ZFIN"
"18276"	"ENSDARG00000012789"	"plek2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-080219-2\")"	"plek2"	"pleckstrin 2 [Source:ZFIN;Acc:ZDB-GENE-080219-2]"	"ZFIN"
"18277"	"ENSDARG00000095067"	"TC2N"	"=HYPERLINK(\"https://zfin.org/\")"	"TC2N"	"tandem C2 domains, nuclear [Source:HGNC Symbol;Acc:HGNC:19859]"	"HGNC Symbol"
"18278"	"ENSDARG00000039273"	"fbln5"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041010-54\")"	"fbln5"	"fibulin 5 [Source:ZFIN;Acc:ZDB-GENE-041010-54]"	"ZFIN"
"18279"	"ENSDARG00000078381"	"trip11"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-9833\")"	"trip11"	"thyroid hormone receptor interactor 11 [Source:ZFIN;Acc:ZDB-GENE-030131-9833]"	"ZFIN"
"18280"	"ENSDARG00000039279"	"golga5"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2749\")"	"golga5"	"golgin A5 [Source:ZFIN;Acc:ZDB-GENE-040426-2749]"	"ZFIN"
"18281"	"ENSDARG00000008947"	"rtf1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-6778\")"	"rtf1"	"RTF1 homolog, Paf1/RNA polymerase II complex component [Source:ZFIN;Acc:ZDB-GENE-030131-6778]"	"ZFIN"
"18282"	"ENSDARG00000025549"	"ndufaf1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050306-9\")"	"ndufaf1"	"NADH:ubiquinone oxidoreductase complex assembly factor 1 [Source:ZFIN;Acc:ZDB-GENE-050306-9]"	"ZFIN"
"18283"	"ENSDARG00000002403"	"nusap1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030827-5\")"	"nusap1"	"nucleolar and spindle associated protein 1 [Source:ZFIN;Acc:ZDB-GENE-030827-5]"	"ZFIN"
"18284"	"ENSDARG00000093597"	"oip5"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-328\")"	"oip5"	"opa interacting protein 5 [Source:ZFIN;Acc:ZDB-GENE-090313-328]"	"ZFIN"
"18285"	"ENSDARG00000093456"	"oip5-as1"	"=HYPERLINK(\"https://zfin.org/ZDB-LINCRNAG-030131-2500\")"	"oip5-as1"	"oip5 antisense RNA 1 [Source:ZFIN;Acc:ZDB-LINCRNAG-030131-2500]"	"ZFIN"
"18286"	"ENSDARG00000018956"	"tmem39b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-6042\")"	"tmem39b"	"transmembrane protein 39B [Source:ZFIN;Acc:ZDB-GENE-030131-6042]"	"ZFIN"
"18287"	"ENSDARG00000011222"	"ccdc28b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060208-3\")"	"ccdc28b"	"coiled-coil domain containing 28B [Source:ZFIN;Acc:ZDB-GENE-060208-3]"	"ZFIN"
"18288"	"ENSDARG00000092483"	"iqcc"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-325\")"	"iqcc"	"IQ motif containing C [Source:ZFIN;Acc:ZDB-GENE-090313-325]"	"ZFIN"
"18289"	"ENSDARG00000053744"	"dcdc2b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-051113-124\")"	"dcdc2b"	"doublecortin domain containing 2B [Source:ZFIN;Acc:ZDB-GENE-051113-124]"	"ZFIN"
"18290"	"ENSDARG00000078333"	"tmem234"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-326\")"	"tmem234"	"transmembrane protein 234 [Source:ZFIN;Acc:ZDB-GENE-090313-326]"	"ZFIN"
"18291"	"ENSDARG00000076139"	"si:dkey-71p21.13"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-327\")"	"si:dkey-71p21.13"	"si:dkey-71p21.13 [Source:ZFIN;Acc:ZDB-GENE-090313-327]"	"ZFIN"
"18292"	"ENSDARG00000069199"	"zgc:172120"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-080204-46\")"	"zgc:172120"	"zgc:172120 [Source:ZFIN;Acc:ZDB-GENE-080204-46]"	"ZFIN"
"18293"	"ENSDARG00000017835"	"brf1a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-6334\")"	"brf1a"	"BRF1 RNA polymerase III transcription initiation factor subunit a [Source:ZFIN;Acc:ZDB-GENE-030131-6334]"	"ZFIN"
"18294"	"ENSDARG00000076440"	"btbd6a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-080218-26\")"	"btbd6a"	"BTB (POZ) domain containing 6a [Source:ZFIN;Acc:ZDB-GENE-080218-26]"	"ZFIN"
"18295"	"ENSDARG00000067661"	"ftr80"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090511-1\")"	"ftr80"	"finTRIM family, member 80 [Source:ZFIN;Acc:ZDB-GENE-090511-1]"	"ZFIN"
"18296"	"ENSDARG00000109055"	"ftr81"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060810-168\")"	"ftr81"	"finTRIM family, member 81 [Source:ZFIN;Acc:ZDB-GENE-060810-168]"	"ZFIN"
"18297"	"ENSDARG00000014246"	"jag2a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-130530-549\")"	"jag2a"	"jagged canonical Notch ligand 2a [Source:ZFIN;Acc:ZDB-GENE-130530-549]"	"ZFIN"
"18298"	"ENSDARG00000012972"	"cfl1l"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2770\")"	"cfl1l"	"cofilin 1 (non-muscle), like [Source:ZFIN;Acc:ZDB-GENE-040426-2770]"	"ZFIN"
"18299"	"ENSDARG00000013763"	"rrbp1a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-9795\")"	"rrbp1a"	"ribosome binding protein 1a [Source:ZFIN;Acc:ZDB-GENE-030131-9795]"	"ZFIN"
"18300"	"ENSDARG00000020442"	"snx5"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2857\")"	"snx5"	"sorting nexin 5 [Source:ZFIN;Acc:ZDB-GENE-040426-2857]"	"ZFIN"
"18302"	"ENSDARG00000016656"	"mgme1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041212-68\")"	"mgme1"	"mitochondrial genome maintenance exonuclease 1 [Source:ZFIN;Acc:ZDB-GENE-041212-68]"	"ZFIN"
"18303"	"ENSDARG00000077481"	"si:dkey-76k16.6"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090312-171\")"	"si:dkey-76k16.6"	"si:dkey-76k16.6 [Source:ZFIN;Acc:ZDB-GENE-090312-171]"	"ZFIN"
"18304"	"ENSDARG00000075561"	"si:dkey-76k16.5"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-330\")"	"si:dkey-76k16.5"	"si:dkey-76k16.5 [Source:ZFIN;Acc:ZDB-GENE-090313-330]"	"ZFIN"
"18305"	"ENSDARG00000069192"	"zgc:163030"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060810-77\")"	"zgc:163030"	"zgc:163030 [Source:ZFIN;Acc:ZDB-GENE-060810-77]"	"ZFIN"
"18306"	"ENSDARG00000007795"	"cst3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-373\")"	"cst3"	"cystatin C (amyloid angiopathy and cerebral hemorrhage) [Source:ZFIN;Acc:ZDB-GENE-030131-373]"	"ZFIN"
"18308"	"ENSDARG00000103298"	"ephx5"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-1050\")"	"ephx5"	"epoxide hydrolase 5 [Source:ZFIN;Acc:ZDB-GENE-030131-1050]"	"ZFIN"
"18309"	"ENSDARG00000104943"	"mad2l1bp"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-161230-19\")"	"mad2l1bp"	"MAD2L1 binding protein [Source:ZFIN;Acc:ZDB-GENE-161230-19]"	"ZFIN"
